ch,sex,age_class,flyway,freq
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,HY,2,390
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,HY,3,104
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000""",F,HY,4,666
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100""",M,HY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100""",M,HY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000""",M,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000""",M,AHY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000""",M,HY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000""",M,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000""",F,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000""",F,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000""",M,AHY,4,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000""",M,HY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000""",M,HY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000""",M,HY,4,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000""",F,AHY,4,4
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000""",F,HY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000""",F,HY,2,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000""",F,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",M,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",M,HY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",M,HY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",M,HY,4,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",F,AHY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",F,AHY,4,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",F,HY,1,4
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000""",F,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",M,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",M,AHY,4,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",M,HY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",M,HY,2,5
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",M,HY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",M,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",F,AHY,2,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",F,HY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",F,HY,2,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000""",F,HY,4,4
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,AHY,1,136
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,AHY,2,57
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,AHY,3,56
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,AHY,4,117
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,HY,1,1090
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,HY,2,402
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,HY,3,107
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",M,HY,4,296
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,AHY,1,270
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,AHY,2,79
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,AHY,3,79
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,AHY,4,197
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,HY,1,1084
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,HY,2,448
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,HY,3,94
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000""",F,HY,4,267
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100""",F,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000""",M,HY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000""",F,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000""",M,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000""",M,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000""",F,AHY,4,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000""",F,HY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000""",F,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000""",M,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000""",F,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000""",M,AHY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000""",M,HY,1,6
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000""",M,HY,2,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000""",M,HY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000""",F,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000""",F,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000""",F,HY,1,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000""",F,HY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000""",F,HY,3,1
